"","signatures"
"1","GKV 2 B 120"
"2","GKV 6 A 002c1"
"3","GKV 2 B 001b1"
"4","ML (GKV) 15 NA NA"
"5","GKV 2 B 350d3"
"6","GKV 2 B 001B2"
"7","GKV 2 B 001b2"
"8","ML (GKV) 10 f NA"
"9","ML (GKV) 10 c2 NA"
"10","5.1 1 NA NA"
"11","GKV 6 A 002a2a"
"12","GKV 2 B 001a1"
"13","ML (GKV) 5 b NA"
"14","GKV 2 B 201a1"
"15","GKV 2 E 002"
"16","GKV 2 B 201"
"17","ML (GKV) 4 NA NA"
"18","GKV 7 B 003"
"19","GKV 1 C 351"
"20","ML (GKV) 3 NA NA"
"21","GKV 2 B 001a"
"22","5.2 2 NA NA"
"23","ML (GKV) 4 c NA"
"24","ML (GKV) 5 NA NA"
"25","GKV 0 B 001"
"26","ML (GKV) 1 d NA"
"27","ML (GKV) 1 NA NA"
"28","ML (GKV) 3 a NA"
"29","ML (GKV) 10 NA NA"
"30","GKV 2 B 350"
"31","GKV 2 B 001"
"32","GKV 2 B 350g3"
"33","GKV 0 C 003"
"34","GKV 5 A 002a1a"
"35","GKV 6 A 005A6B2"
"36","GKV 2 B 201b"
"37","GKV 2 B 001c"
"38","GKV 2 B 350g2"
"39","GKV 6 A 005"
"40","GKV 6 A 005a6b2"
"41","GKV 3 A 001A2C"
"42","ChKV 3B 14 NA"
"43","GKV 3 A 001A5A2"
"44","GKV 3 A 001A5A4"
"45","GKV 3 A 001g2"
"46","GKV 3 A 001a7a"
"47","ML (GKV) 18 a NA"
"48","GKV 6 A 005A6A"
"49","GKV 2 B 001b"
"50","GKV 5 A 002a1"
"51","GKV 5 D 002a"
"52","ML (GKV) 17 h NA"
"53","GKV 6 A 002c2"
"54","ML (GKV) 15 b NA"
"55","unbekannt NA NA NA"
"56","GKV 2 B 350c3"
"57","GKV 2 B 350i4"
"58","GKV 2 B 350e3"
"59","GKV 2 B 350a3"
"60","GKV 2 B 350b3"
"61","GKV 3 A 228c"
"62","GKV 3 A 001a5a5"
"63","GKV 0 B 002g"
"64","GKV 2 B 352"
"65","GKV 7 D 101"
"66","GKV 1 C 231"
"67","GKV 0 B 002"
"68","GKV 2 B 001c2"
"69","GKV 3 A 001a2c"
"70","GKV 7 A 103a1"
"71","ML (GKV) 11 a NA"
"72","GKV 7 A 103a"
"73","GKV 7 A 003c1"
"74","GKV 2 B 201a"
"75","GKV 3 A 002g2"
"76","GKV 2 B 352b"
"77","GKV 2 B 201b1"
"78","GKV 6 A 005a6a"
"79","GKV 7 A 002"
"80","GKV 3 A 001a2a"
"81","ChKV 3B 16 NA"
"82","GKV 2 B 005e"
"83","GKV 3 A 001a10c"
"84","GKV 5 A 001h"
"85","ML (GKV) 13 NA NA"
"86","GKV 2 B 350g"
"87","GKV 2 B 350c"
"88","GKV 3 A 001a5a2"
"89","ML (GKV) 10 a NA"
"90","ML (GKV) 5 a NA"
"91","GKV 2 B 120a"
"92","GKV 2 B 001d"
"93","GKV 5 D 002c1"
"94","GKV 2 B 001b3"
"95","ML (GKV) 22 NA NA"
"96","GKV 5 A 001i"
"97","GKV 3 A 002G2"
"98","GKV 2 B 350G2"
"99","GKV 5 A 002"
"100","GKV 3 A 001a5a3"
"101","ML (GKV) 6 a NA"
"102","GKV 5 A 002a1b3"
"103","GKV 2 B 350G"
"104","ML (GKV) 6 NA NA"
"105","GKV 3 A 226"
"106","GKV 2 B 001C"
"107","GKV 1 A 004a"
"108","GKV 2 B 001a12"
"109","GKV 2 B 350d1"
"110","ML (GKV) 17 NA NA"
"111","GKV 2 B 001c1"
"112","GKV 2 D 002"
"113","ML (GKV) 13 c NA"
"114","GKV 2 B 350e7"
"115","GKV 2 B 3504g"
"116","GKV 9 A 012a1"
"117","ML (GKV) 11 NA NA"
"118","ML (GKV) 21 NA NA"
"119","ML (GKV) 14 NA NA"
"120","ML (GKV) 2 a NA"
